,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
457,安徽,六安,0,77,0,77,0.00,100.00
458,安徽,合肥,0,176,1,175,0.57,99.43
459,安徽,阜阳,0,156,0,156,0.00,100.00
460,安徽,宣城,0,6,0,6,0.00,100.00
461,安徽,池州,0,17,0,17,0.00,100.00
462,安徽,亳州,0,108,0,108,0.00,100.00
463,安徽,宿州,0,41,0,41,0.00,100.00
464,安徽,滁州,0,13,0,13,0.00,100.00
465,安徽,黄山,0,9,0,9,0.00,100.00
466,安徽,安庆,0,83,0,83,0.00,100.00
467,安徽,铜陵,0,29,0,29,0.00,100.00
468,安徽,淮北,0,27,0,27,0.00,100.00
469,安徽,马鞍山,0,38,0,38,0.00,100.00
470,安徽,淮南,0,27,0,27,0.00,100.00
471,安徽,蚌埠,0,160,5,155,3.12,96.88
472,安徽,芜湖,0,34,0,34,0.00,100.00
